publication	clinical_trial_id
26988926	
27641825	
27926786	
27937092	
28063166	
28068178	
28111464	
28249894	
28250416	
28257609	
28263969	
28270494	
28272465	
28273064	
28280220	
28317123	
28323339	
28346094	
28381423	
28388816	
28397388	
28402856	
28411130	
28442502	
28464318	
28479592	
28483986	
28484033	
28485815	
28487543	
28490812	
28515148	
28521118	
28541380	
28554173	
28572161	
28576884	
28581522	
28587050	
28588253	
28591772	
28600474	
28602904	
28606585	
28621576	
28624153	
28629896	
28635117	
28637795	
28640950	
28648948	
28653829	
28657667	
28674079	
28684606	
28686535	
28691930	
28700829	
28706277	
28720577	
28721904	
28726085	
28730928	
28745029	
28759485	
28760232	
28763097	
28775207	
28783718	
28798196	
28800031	
28810144	
28810145	
28814605	
28817835	
28819022	
28820751	
28821601	
28827567	
28835615	
28839186	
28843371	
28847007	
28850934	
28851690	
28854952	
28855350	
28860471	
28860563	
28862765	
28864456	
28866885	
28869863	
28871363	
28871446	
28877935	
28877962	
28877984	
28878208	
28885999	
28900008	
28902780	
28904816	
28911884	
28911907	
28916764	
28934002	
28935694	
28957356	
28970362	
28974511	
28976766	
28978752	
28981123	
28988769	
28992382	
29016103	
29016836	
29017058	
29025982	
29026204	
29029890	
29033130	
29035366	
29038232	
29038537	
29049607	
29051322	
29054012	
29054992	
29058716	
29059175	
29059683	
29075773	
29076949	
29077214	
29081036	
29081725	
29083185	
29083409	
29086765	
29088129	
29089645	
29092936	
29092937	
29092939	
29092946	
29093439	
29097926	
29100075	
29100492	
29101114	
29101163	
29106415	
29108585	
29116056	
29122287	
29124938	
29128565	
29132144	
29133591	
29139475	
29142225	
29145701	
29149451	
29151572	
29153843	
29154080	
29154963	
29155309	
29156001	
29157092	
29158292	
29158557	
29158558	
29162641	
29163965	
29165008	
29175391	
29176737	
29177671	
29178486	
29181270	
29182162	
29186491	
29186692	
29189564	
29191879	
29196463	
29196615	
29203461	
29203590	NCT01727076
29206870	
29206922	
29209044	
29210800	
29212026	
29212731	
29215513	
29215871	
29217585	
29218265	
29218886	
29230093	
29233566	
29235195	
29237804	
29238985	
29242283	NCT01628913
29243000	
29249144	
29249839	
29251630	
29255035	
29258679	
29259014	
29259241	
29261439	NCT01576172
29263110	
29266001	
29267863	
29277115	
29278667	
29288495	
29291005	
29294023	
29298342	
29298799	
29301958	
29301960	
29305553	
29314003	
29317678	
29318900	
29319699	
29323272	
29327114	
29332675	
29335648	
29338082	
29339358	
29339359	
29339807	
29342309	
29342360	
29343548	
29350062	
29358413	
29360641	
29369827	
29379199	
29381148	
29385081	
29385370	NCT02435849
29387478	
29410677	
29417929	
29420353	
29421984	
29426295	
29426930	
29430700	
29431617	
29431697	
29431698	
29434481	
29435196	
29438696	
29438996	
29440379	
29441528	
29441563	
29444434	
29447163	
29449192	
29459478	
29462669	
29463696	
29467427	
29471289	
29474905	
29475961	
29481652	
29483153	
29485185	
29486723	NCT01295827
29487024	
29487385	
29491378	
29492753	NCT02957526
29496759	
29499525	
29499621	
29499750	
29500245	
29508855	
29513652	
29518331	
29520676	
29523594	
29523629	
29528181	
29528224	
29533773	
29533782	
29533785	
29535300	
29537634	
29540614	
29541636	
29543507	
29543933	NCT00033631
29549183	
29549977	
29551126	
29555661	
29556541	
29560266	
29562162	
29562193	
29563318	
29566717	
29567769	
29572350	
29577338	
29579225	
29580203	
29589155	
29589566	
29590011	
29599906	
29603337	
29605183	
29606305	
29606306	
29606307	
29606311	
29606314	
29610292	
29610475	
29613856	
29617659	
29617661	
29617665	
29618526	
29622276	
29622464	
29622466	
29622869	
29625053	
29625054	
29625927	
29626132	
29628290	
29628419	
29632127	
29634944	
29644010	
29649019	
29657130	
29657904	
29660167	
29661830	
29669721	
29669777	
29669929	
29669947	NCT02135406
29671580	
29673279	
29674756	
29681511	
29681901	
29686425	
29691296	
29697279	
29697485	
29702529	
29706454	
29712852	
29712909	
29713085	
29713087	
29716897	
29716986	
29718670	
29727683	
29731976	
29731983	
29736411	
29740590	
29740809	
29741879	
29743592	
29743719	
29749395	
29749396	
29750200	
29750582	
29752189	
29762136	
29763622	
29766399	
29769205	
29769209	
29769279	
29771950	
29777049	
29784587	
29789651	
29792826	
29793340	
29795238	
29795437	
29797682	
29808028	
29813119	
29843645	
29844122	
29844131	
29844370	
29849141	
29849151	
29853174	
29854175	
29854252	
29856956	
29859177	
29859792	
29859828	
29860390	
29869105	
29871690	
29871905	
29872489	
29873895	
29878866	NCT01578239
29880008	
29880615	
29881827	
29888062	
29889582	
