publication	clinical_trial_id
29889752	
29891348	
29891355	
29891961	
29894664	
29895955	
29899820	NCT02546167
29901778	
29903880	
29906450	
29907507	
29911108	
29913254	
29916959	
29921838	
29924804	
29925986	
29941660	
29942093	
29944461	
29945997	
29946230	
29946442	
29951373	
29955178	
29956356	
29957537	
29958847	
29959327	
29966725	
29967349	
29967379	
29972754	
29975751	
29976498	
29977015	
29980617	
29980625	
29985391	
29985529	
29986644	
29987617	
29988108	
29992622	
29993952	
29996914	
29997223	
30010675	
30011084	
30012111	
30015487	
30018082	
30018108	
30018331	
30019892	
30022083	
30022165	
30024272	
30026574	
30030295	
30033370	
30034609	
30035278	
30038049	
30038220	
30040862	
30042161	
30044794	
30045932	NCT01727076
30050129	
30054336	
30054825	
30055167	
30055950	
30061557	
30065098	
30066643	
30072814	
30077399	
30082067	
30082821	
30084834	
30086799	
30087114	
30094610	
30096273	
30100185	
30102953	
30104252	
30104567	
30104724	
30109986	
30112163	
30121626	
30124468	
30127018	
30127393	
30127394	
30129562	
30129680	
30130115	
30131550	
30131701	
30134176	
30135193	
30135448	
30135465	
30139738	
30140882	
30141943	
30145750	
30150398	
30150674	
30151925	
30155522	
30156029	
30157427	
30165064	
30175050	
30178481	NCT01626495
30178746	
30179225	
30181330	
30181556	
30190369	
30190371	
30190513	
30191256	
30192374	
30193111	
30193908	
30194240	
30197195	
30202050	
30202918	
30203231	
30205044	
30205046	
30206059	
30206161	
30210768	
30213435	
30230475	
30238070	
30239578	
30243574	
30245691	
30253799	
30254248	
30254314	
30255377	
30259383	
30262473	
30265680	
30266775	
30266823	
30266942	
30267062	
30268657	
30268942	
30269481	
30275515	
30275568	
30276358	
30276588	
30279194	
30279971	
30282750	
30285852	
30285995	
30287548	
30287923	
30291194	
30291344	
30291535	
30295032	
30296434	
30297358	
30297703	
30297783	
30297899	
30300578	
30301882	
30302932	
30311370	
30312421	
30315238	
30315273	
30317410	
30318110	
30318516	NCT02303990
30321299	
30322870	
30325853	
30333627	
30334351	
30342302	
30343949	
30344454	
30346747	
30346791	
30346945	
30348809	
30349115	
30350329	
30352903	
30353882	
30355580	
30356138	
30357359	
30367331	
30374199	
30375896	
30376847	
30378044	
30378175	
30380420	
30382775	
30382943	
30383900	
30385730	
30388456	
30392957	
30395155	
30397176	
30397337	
30397757	
30401714	
30401751	
30402669	
30403777	
30406903	
30407745	
30413360	
30414738	
30416506	
30418701	
30419209	
30419305	
30419609	
30420444	
30420447	
30420565	
30423406	
30425048	
30426664	
30429160	
30429276	
30429377	
30431433	
30442683	
30445012	
30445607	
30446625	
30449625	NCT01302834
30449681	
30450825	
30451486	
30453628	
30455465	
30457839	
30459171	
30459364	
30460388	
30470300	
30472158	
30472189	
30473691	
30473781	
30476131	
30477533	
30478424	
30479831	
30482247	
30482722	
30482746	
30486838	
30487586	
30497427	
30498031	
30507471	
30507980	
30510237	
30511867	
30513377	
30514386	
30515171	
30517739	
30518816	
30519459	
30523211	
30524445	
30525447	
30526160	
30527351	
30527517	
30528274	
30530991	
30531838	
30538120	
30541042	
30541869	
30545954	
30547180	
30550791	
30552023	
30556752	
30559148	
30559310	
30560866	
30560892	
30561796	
30562614	
30562615	
30563849	
30563890	
30566828	
30568299	
30573518	
30575721	
30575730	
30580568	
30582332	
30583461	
30586411	
30589920	
30590042	
30590402	
30591422	
30595531	
30598531	
30602604	
30605687	
30606716	
30607001	
30607307	
30610163	
30611869	
30613266	
30615123	
30615143	
30617350	
30627328	
30630822	
30630829	
30630850	
30631154	
30631215	
30631555	
30633903	
30633907	
30636189	
30636512	
30642363	
30642575	
30643254	
30643296	
30644358	
30646957	
30647079	
30649166	
30651320	
30651397	
30651561	
30654827	
30659022	
30659155	
30660727	
30664790	
30665374	
30668861	
30675514	
30680780	
30682260	
30683880	
30684301	
30686553	
30686761	
30688315	
30689687	
30692124	
30694220	
30694853	
30694859	
30698722	
30699959	
30700301	
30700444	
30700544	
30700545	
30703359	
30707231	
30710270	
30711529	
30712214	
30716326	
30720426	
30721156	
30721663	
30723142	
30723579	
30726175	NCT02267603
30726756	
30728267	
30728334	
30729224	
30730413	
30730747	
30730851	
30735636	
30737146	
30741721	
30741758	
30742064	
30742113	
30742126	
30742782	
30755690	
30760578	
30760869	
30765391	
30765600	
30770389	
30772301	
30773264	
30773340	
30775563	
30776148	
30787016	
30787463	
30791937	
30801016	
30804515	
30807822	
30808209	
30808379	NCT03478397
30814108	
30814732	
30815153	
30819149	
30820474	
30820706	
30824588	
30827458	
30827501	
30827681	
30827862	
30828438	
30830874	
30833748	
30842677	
30844513	
30845695	
30847052	
30848084	
30858180	
30860948	
30862852	
30863918	
30864286	
30864387	
30865894	
30866806	
30867049	
30867218	
30867580	
30871956	
30872517	
30872779	
30873294	
30873591	
30877797	
30880072	NCT01623349
30880166	
30883031	
30884134	
30885363	
30885979	
30887236	
30888558	
30889376	
30894372	
30894532	
30894541	
30895617	
30896447	NCT02546167
30897037	
30898264	
30898391	
30898918	
30899417	
30902740	
30902833	
30905014	
30909651	
30910780	
30911060	
30913304	
30913308	
30914633	
30918020	
30918106	
30923373	
30924138	
30924636	
30926166	
30926684	
30930166	
30936198	
30936880	
30943123	NCT00750269
30943955	
30948539	
30948807	
30950071	
30952805	
30954717	NCT00346164
30954941	
30955881	
30956779	
30959121	
30961831	
30962452	
30962549	
30962579	
30967555	
30967646	
30971691	
30978304	
30979687	
30979745	
30979791	
30980333	
30983154	
30983848	
30984796	
30984972	
30986357	
30988284	
30989105	
30990720	
30992280	
30992299	
30995500	
30995507	
30996079	
31001524	
31003998	
31006619	
31009812	
31010709	
31010834	
31011208	
31011904	
31015166	
31015319	
31015631	
31015706	
31021732	
31025418	
31026415	
31028278	
31031458	
31037736	
31039080	
31040006	
31040125	
31040208	
31043423	
31043429	
31043744	
31048320	
31048490	
31048499	
31054503	
31055076	
31055923	
31060596	
31061129	
31061439	
31063649	
31063753	
31064845	
31066497	
31068700	
31070747	
31075786	
31076212	
31076405	
31076448	NCT01747486,NCT01029366
31076529	
31076661	
31077099	
31083951	
31085557	
31086186	
31091136	
31092401	
31094704	
31095591	
31097695	
31099649	
31102083	
31105344	
31106233	
31109659	
31109923	
31113819	
31114756	
31114876	
31118087	
31123532	
31123724	
31125624	
31126961	
31127946	
31128110	
31133758	
31135529	
31135882	
31138602	
31138702	
31141421	
31142513	
31142662	
31142847	
31145100	
31145418	NCT01821729
31151886	
31152080	
31152140	
31152568	
31153519	
31154021	
31154457	NCT02595866
31155658	NCT00920621
31157772	
31158105	
31158393	
31160049	
31160305	
31160797	
31161239	
31164372	
31168357	
31171722	
31172659	
31180135	
31180898	
31182781	
31185210	
31186232	
31186248	
31187868	
31188523	
31189717	
31197017	
31197421	
31199868	
31201206	
31201897	
31202359	
31206626	
31208324	
31208996	
31213465	
31217584	
31221207	
31221496	
31221785	
31221844	
31225597	
31225906	
31225974	
31226226	
31226790	NCT03639350
31227573	
31229402	
31231463	
31231465	
31233624	
31235477	
31235611	
31238109	
31241912	
31243335	
31243370	
31243372	
31248054	
31249680	
31253631	
31253978	
31255207	
31258039	
31263080	
31265066	
31265121	
31270153	
31273063	
31273750	
31274701	
31277699	NCT01277757
31278259	
31285952	
31287557	
31288218	
31289363	
31291155	
31292160	
31296553	
31296754	
31297189	
31299607	
31300623	
31303270	
31306826	
31315033	
31315057	
31315252	
31315653	
31317218	
31318566	
31327706	
31329165	
31331918	NCT00822120
31332296	
31336733	
31340155	
31340855	
31341290	
31342013	
31344359	
31346173	
31350294	
31355777	
31357169	
31360645	
31361563	
31361600	
31361967	
31363002	
31364278	
31366581	
31366621	
31371342	
31371596	
31372215	
31373345	
31375515	
31378984	
31383734	
31390566	
31392039	
31392992	
31395771	
31398344	
31402908	
31406111	
31406259	
31409394	
31409640	
31410441	
31412220	
31412816	
31416839	
31416966	
31418130	
31419509	
31420320	
31423931	
31425482	
31426419	
31427044	
31427282	
31427721	
31431174	
31433975	
31435022	
31438083	
31439946	
31442404	
31444325	
31444334	
31445098	
31449859	
31451444	
31452053	
31452510	
31455724	
31461537	
31461649	
31462330	
31462500	
31462737	
31463699	
31469419	
31477281	
31478845	
31481960	
31482489	
31483290	
31488082	
31488332	
31488706	
31489111	
31494941	
31501609	
31501884	
31502160	
31502167	
31506093	
31506226	
31509397	
31513574	
31513970	
31515456	
31516400	
31516653	
31519689	
31519915	
31522271	
31523868	
31526759	
31526779	
31527151	
31527169	
31527591	
31528688	
31529053	
31530839	
31532724	NCT02243579
31534232	
31542501	
31548343	
31548760	
31549315	
31553803	
31554634	
31556911	NCT01522443
31558474	
31559706	
31560538	
31562224	
31566474	
31566578	
31570879	
31575532	
31577800	
31577942	
31581174	
31582393	
31582538	
31586392	
31588020	
31591262	
31591467	
31591597	
31597758	
31600961	
31601799	
31601988	
31605556	
31606083	
31606264	
31606370	
31606419	NCT02435849
31606723	
31611635	
31613963	
31614123	
31618044	
31621900	
31621952	
31623857	
31628143	
31630874	
31633017	
31633026	
31635288	
31635338	
31638990	
31640893	
31645350	
31645352	
31645905	
31648326	
31649109	
31650024	
31651363	NCT01343043
31657801	
31659305	
31663134	
31663852	
31666510	
31666702	
31667870	
31668558	
31668641	
31675502	
31678994	
31679081	
31682227	
31682236	
31684072	
31684865	
31691526	
31695799	
31695841	
31696640	
31700181	
31700186	
31700994	
31703119	
31704085	
31704881	
31709756	
31710046	
31711984	
31714306	
31714586	NCT01307631
31714961	
31719663	
31722133	
31722972	
31727725	
31730714	
31730848	
31732484	
31732494	
31737724	
31737920	
31738832	
31741111	
31741544	
31744829	
31745703	
31749909	
31754026	
31754135	
31756067	
31757841	
31767784	
31768799	
31770440	
31771646	
31771880	
31772025	
31772037	
31772388	
31772820	
31776128	
31776920	
31779273	
31779674	
31780415	
31786124	NCT00346164
31786329	
31786484	
31787074	
31788483	
31790823	
31791703	
31792216	
31792435	
31792460	
31792531	
31793300	
31794389	
31794514	
31795833	
31796060	
31796433	
31796528	
31797627	
31797715	
31799396	
31801515	
31801529	
31804466	
31805191	
31806643	
31807236	
31808843	
31808949	
31809738	
31810498	
31815579	NCT02030847,NCT01029366
31816298	
31816616	
31820798	
31821501	
31821784	
31824911	
31827233	
31827283	
31828566	
31830214	
31831916	
31838050	
31839487	
31839882	
31840683	
31841363	NCT00533949
31843590	
31843871	
31844046	
31844143	
31844290	
31845905	
31847695	
31848196	
31848351	
31851053	
31852717	
31853414	
31855955	
31856076	
31856277	
31856812	NCT03592771
31857137	
31859482	
31859488	
31861060	
31862799	
31866478	
31867817	
31872085	
31874109	
31874115	
31874858	
31875548	
31876028	
31876902	
31877213	
31879345	
31880950	NCT02092324
31882401	
31883965	
31883968	
31892734	
31899206	
31900729	
31901447	
31905596	
31906456	
31907209	
31907974	
31909167	
31911451	
31911539	
31911630	
31911640	
31911938	
31913019	
31913126	
31913773	
31922925	
31926997	
31930186	
31931431	
31932455	
31932491	
31932756	
31933479	
31935369	
31937348	
31937620	
31937831	
31940493	
31941024	
31941831	
31947933	
31948560	
31948569	
31949161	
31950181	
31953400	
31954172	
31959027	
31965790	
31969336	
31969485	
31970812	
31971226	
31974169	
31980487	
31980746	
31980749	
31984309	
31985208	
31985516	
31986932	
31988290	
31990579	
31990608	
31993050	
31997022	
31997977	
32000897	
32000905	
32001516	
32001657	
32001668	
32005835	
32010120	
32012237	
32014447	
32015013	
32015021	
32015092	
32015113	
32015164	
32015231	
32018052	
32019548	
32020054	
32024967	
32025007	
32025015	
32025018	
32025647	
32026945	
32027624	
32029633	
32030484	
32032663	
32032940	
32034288	
32036006	
32037398	
32040356	
32041838	
32042168	
32042191	
32045431	
32046984	
32051193	
32051339	
32051556	
32051576	
32054831	
32058311	
32058701	
32059776	
32060100	
32060102	
32060401	
32067047	
32069268	
32073955	
32077397	
32078353	
32078691	
32079540	
32079618	
32083172	
32085441	
32086342	
32086391	
32094195	
32094466	
32097093	
32099035	
32102694	
32108976	
32109374	
32110166	
32112046	
32115800	
32117816	
32122539	
32123969	NCT01578239
32125191	
32126587	
32127357	
32127393	
32132150	
32132617	
32134744	
32139180	
32142667	
32142794	
32143413	
32146619	NCT01677910,NCT02063659
32147542	
32149732	
32151353	
32151354	
32151355	
32151356	
32151357	
32151362	
32151363	
32151366	
32151751	
32152150	
32152322	
32152447	
32152485	
32153349	
32153503	
32153571	
32155775	
32159997	
32160052	
32161403	
32164626	NCT01623349
32164706	
32169821	
32170883	
32175921	
32179091	
32179095	
32180547	
32183953	
32185875	
32187357	
32187555	
32187633	
32191543	
32191635	
32193224	
32193227	
32193285	
32196460	
32198885	
32199881	
32203275	
32203281	
32205473	
32205538	
32205868	
32209571	
32210275	
32211329	
32212344	
32213589	
32213626	
32215016	
32215583	NCT00002874
32215866	
32217460	
32220301	
32220959	
32221012	
32222332	
32226016	
32228688	
32231245	
32231310	
32234960	
32236523	
32237234	
32237987	
32238380	
32238854	
32243795	
32243801	
32246132	
32246919	
32247021	
32248647	
32251410	
32255561	
32256484	
32265228	
32265989	
32270420	
32270762	
32272502	
32273347	
32274887	
32276990	
32277893	
32279280	
32282230	
32283205	
32286326	
32286532	
32286905	NCT02315612
32290096	
32294251	
32294438	
32296029	
32297896	
32298807	
32298811	
32299461	
32299729	
32299917	
32300858	
32302568	
32305040	
32308886	
32308921	
32312293	
32312993	
32314924	
32315394	
32315398	
32317634	
32318644	
32319217	
32321819	
32321829	
32324171	
32324594	
32325634	
32330068	
32332014	
32333215	
32335187	
32336140	
32336462	
32336463	
32338655	
32338763	
32339496	
32340014	
32341560	
32341580	
32344731	
32347219	
32348758	
32350277	
32351006	
32352029	
32352034	
32352407	
32353955	
32355025	
32355567	
32359500	
32361713	
32363175	
32364754	
32366937	
32369697	
32371551	
32371576	
32374631	
32375029	
32376721	NCT01363206,NCT00064129
32376773	
32376804	
32377676	
32378902	
32379821	
32381040	
32381291	
32381297	
32384903	
32385116	
32386455	
32391524	NCT03799432
32391548	
32392097	
32393285	
32393731	
32393771	
32393777	
32396365	
32396488	
32396847	
32396860	
32402285	
32403054	
32404163	
32405060	
32407673	
32408242	
32409115	
32413413	
32414848	NCT00557193
32415712	
32417404	
32421173	
32421773	
32423648	
32424106	
32424294	
32426696	
32427313	
32427590	
32427989	
32428708	
32430488	
32431046	
32432405	
32433264	
32433395	
32435621	
32436191	
32437829	
32449433	
32452027	
32453421	
32453635	
32454112	
32457999	
32459988	
32462107	
32462187	
32467769	
32470440	
32471953	
32471990	NCT01454297
32472114	
32473960	
32477014	
32477359	
32477646	
32478025	
32488020	
32488521	
32491157	
32492394	
32493790	
32497499	NCT02451423
32499298	
32499547	
32500346	
32502231	
32503661	NCT03892967
32506263	
32510176	
32510524	
32510788	
32510927	
32511030	
32513686	
32513774	
32513898	
32516437	
32516567	
32516589	
32516895	
32518857	
32523259	
32525984	
32528921	
32530570	
32531207	
32531833	
32534439	
32536574	
32537570	
32537571	
32540409	
32541866	
32544101	
32546544	
32549358	
32550915	
32553518	
32554069	
32554597	
32554617	
32556367	
32560187	
32560661	
32560708	
32561655	
32565737	
32569358	
32571778	
32571915	
32571981	
32572196	
32573499	
32575123	
32577648	
32579974	
32581056	
32581250	
32581358	
32582924	
32583884	
32584883	
32589727	
32591522	
32599760	
32602701	
32610128	
32611414	
32611516	
32611582	
32612991	
32616006	
32618634	
32620755	
32624198	
32628726	
32629079	
32631746	
32632095	
32632238	
32632880	
32634545	
32636409	
32639928	
32640418	
32641412	
32641416	
32644817	
32644904	
32646193	
32646968	
32649874	
32650610	
32651179	
32651579	
32654925	
32656719	
32658189	
32658627	
32661093	
32661123	
32661362	
32661416	
32665297	NCT02296684
32668225	
32668227	
32669287	
32669372	
32669548	NCT00902044
32671216	
32671317	
32675324	
32675368	
32675783	
32676101	
32676168	
32676612	
32677052	
32679108	
32680998	
32681151	
32681153	
32682766	
32684431	
32687451	NCT01191060
32688206	
32690541	
32690669	
32690952	
32694156	
32694789	
32699181	
32699191	
32699215	
32699310	
32701507	
32702309	NCT02180867
32702466	
32705635	
32710608	
32711979	
32714112	
32719742	
32719746	
32720717	
32721948	
32722116	
32723326	
32723676	
32724061	
32724153	
32726432	
32728248	
32732248	
32732714	
32737156	
32737216	
32742246	
32742927	
32743071	
32746799	NCT04358276
32746888	
32747365	
32747783	
32747824	
32754299	
32755586	
32758418	
32760967	
32763154	
32763176	
32764642	
32766874	
32769854	
32771406	
32777757	
32780851	
32789283	
32789648	
32795414	
32796275	
32798022	
32798608	
32801014	
32805208	NCT00788671
32805300	
32807988	
32813112	
32814027	
32816552	
32816910	
32820120	
32822576	
32822815	
32832602	
32832831	
32832835	
32832836	
32833129	
32835302	
32835719	NCT00500591
32839463	
32839596	
32839624	
32842875	
32843430	
32844992	
32847821	
32848210	
32849544	
32852746	
32853096	
32855206	
32855387	
32856021	
32856604	
32856614	
32857953	
32859606	
32865431	
32867127	
32868128	
32868913	
32868927	
32870237	
32873792	
32880602	NCT03051659
32882321	
32882403	
32892700	
32897831	
32898244	NCT03287908
32905846	
32907939	
32908974	
32912924	
32913381	
32914029	
32914876	
32916097	
32923856	
32923889	
32930711	
32935109	
32937048	
32939016	
32941251	
32942054	NCT03278340
32943455	
32943548	
32945549	
32946773	
32947124	
32948771	
32954360	
32955450	
32958499	
32958583	
32961746	
32962010	
32966785	
32967217	
32967863	
32967912	
32967941	
32967960	
32968740	
32972968	
32973205	
32976776	
32977670	
32985910	
32986533	
32988389	
32989072	
32991214	
32991843	
32993756	
32997578	
32998963	NCT04071366
33000894	
33001587	
33002133	
33004476	
33005623	
33007258	
33007496	
33008815	
33009500	
33015525	NCT03837353
33016647	
33016929	
33024991	
33030469	
33031532	
33034643	
33035286	
33036972	
33037411	
33043808	
33044226	
33045735	
33046413	
33046443	
33054068	
33054076	
33058778	
33058866	
33059748	
33060073	
33060677	
33063517	
33064841	
33067450	
33067482	
33080150	
33080624	
33082316	
33086064	
33087417	
33087803	
33090190	
33092684	
33093160	
33095259	
33095584	
33095872	
33098202	
33098744	
33103699	
33105052	
33105726	
33106653	
33107001	
33110069	
33111113	
33115944	
33117890	
33118943	
33119036	
33119407	
33121536	NCT04514341
33122355	
33122631	
33123685	
33123754	
33125463	
33126510	
33130228	
33134652	
33134653	
33137064	
33141930	
33144576	
33145085	
33145086	
33147337	
33149123	
33149130	
33149280	
33149299	
33152323	
33157031	
33157050	
33158848	
33158916	
33159050	
33168847	
33170893	
33173046	
33173221	
33178188	
33180487	
33181636	
33183950	
33184911	
33186085	
33188038	
33188200	
33194740	
33194937	
33199490	
33203635	NCT04302675
33203928	
33205028	
33205531	
33207246	
33209304	
33210298	
33213279	
33215030	
33218603	
33219054	
33220460	
33220808	
33221681	
33225120	
33225633	
33228402	
33230299	
33232788	
33234154	
33234227	
33234602	
33235308	
33237278	
33242424	
33242441	NCT00022737,NCT00287105,NCT00720109,NCT01460160,NCT01423747,NCT01423500,NCT01949129,NCT01117441
33243875	
33245774	
33245834	
33246098	
33246632	
33246634	
33246637	
33252629	
33255309	
33255368	
33257795	
33258687	NCT01522443,NCT02066181
33259803	
33262066	
33262135	
33262351	
33262400	
33264086	
33264547	
33264598	
33270228	
33271351	
33277396	
33277443	
33277486	
33277626	
33278479	
33281820	
33283137	
33284948	
33284949	
33287876	
33288657	
33292639	
33298724	
33299147	
33299191	
33299553	
33299986	
33300087	
33301352	
33303522	
33304355	
33305097	
33309909	
33310900	
33312342	
33313382	
33315178	
33318029	
33318641	
33323379	
33323400	
33323402	
33323970	
33326793	
33328226	
33330102	
33333019	
33333028	
33335011	
33335285	
33338262	
33347596	
33352054	
33355191	
33355448	
33357484	
33358624	
33367546	
33367660	
33368875	
33371187	
33371192	
33372065	
33373667	
33375770	
33375775	
33377091	
33377908	
33381925	
33385462	
33391498	
33393708	
33393790	
33398191	
33398197	
33399513	
33402434	
33402668	
33403469	
33404048	
33408328	
33410766	
33414137	
33414553	
33415011	
33415312	
33415649	NCT04428905
33417474	NCT02906371
33417831	
33417940	
33418200	
33418513	
33419318	
33419780	
33420629	
33423324	
33428889	
33431577	
33431692	
33432170	
33434072	
33436117	
33436641	
33437048	
33437521	
33438761	
33439231	
33441193	
33441535	
33442662	
33443020	
33443130	
33451364	
33451982	
33451983	
33452082	
33452106	
33452461	
33452604	
33456709	
33462231	
33462509	
33463239	
33467924	
33468554	
33469025	
33469195	
33470210	
33471974	
33472890	
33477536	
33479121	
33479501	NCT01970358
33482631	
33483601	
33484754	
33484943	
33487632	
33495298	
33495315	
33495553	
33496367	
33496754	NCT02435849,NCT02228096
33496795	NCT02058706
33500318	
33501497	
33504338	
33505304	
33506713	
33507809	NCT02254278
33511477	
33513030	NCT02136134,NCT02076009
33513345	
33516272	
33517327	
33521700	
33523236	
33523558	
33524948	
33526449	
33526794	
33527899	
33530698	
33534142	
33535033	
33536572	
33536615	
33536620	
33542149	
33542242	
33545064	
33545140	
33545388	
33547171	
33547198	
33548142	
33549708	
33550249	
33551196	
33554221	
33558511	
33558734	
33559043	
33560368	
33560385	
33560388	
33563487	
33563578	
33563661	
33564398	
33566244	
33567287	
33568343	
33568355	
33571193	
33571541	
33571687	NCT03224520
33574619	
33577785	
33589518	
33589527	
33593131	
33594732	
33595728	
33597211	
33597508	
33599032	
33601412	
33601414	
33602823	
33605033	
33608378	
33608693	
33609555	
33609609	
33610302	
33619212	
33622644	
33622847	
33626321	
33627109	
33627871	
33630025	
33632893	
33632928	
33633154	
33633208	
33633365	
33636129	
33636132	
33638562	
33640299	
33640577	
33643689	NCT01497808
33647928	
33648989	
33649333	
33649598	
33650152	
33650708	
33658501	
33658518	
33662287	
33662459	
33662576	
33664492	
33667368	
33669386	
33672769	
33674442	
33676144	
33676971	
33677641	
33681983	
33683127	
33688669	
33690798	
33690816	
33691103	
33691136	
33693638	
33694125	
33704589	
33705382	
33707228	
33707233	
33707434	
33711255	
33711272	
33711273	
33712728	
33713436	
33720050	
33720354	NCT01822509
33720842	
33722709	
33723396	
33727225	
33727260	
33727309	
33727676	
33730899	
33737297	
33737461	
33737681	
33740422	
33740988	
33740999	
33746468	
33749263	
33750075	
33751036	
33751108	
33753926	
33753930	
33757658	
33758859	
33761058	
33762098	
33766983	
33767426	
33768192	
33771657	
33771888	
33772584	
33772778	
33774354	
33777050	
33780043	
33782087	
33785255	
33785602	
33792515	
33792558	
33793044	
33795205	
33795428	
33798420	
33805803	
33811123	
33811152	
33818892	
33820778	
33820953	
33821990	
33822843	
33823904	
33824136	
33826741	
33826819	
33827033	
33834176	
33834509	
33837119	
33837131	
33839362	
33839688	
33840559	
33842408	
33844845	
33847759	
33848463	
33853780	
33854497	
33858849	
33859749	
33861994	
33864502	
33865384	
33872301	
33875760	
33876749	
33878340	
33878394	
33879601	NCT02267603
33880648	
33881465	
33885704	NCT02206334
33887219	
33888713	
33888841	
33888899	NCT02588456,NCT02650414
33891200	
33892822	
33904395	
33910979	
33914025	
33914708	
33915081	
33916826	
33926078	
33926541	
33926920	
33929332	
33930528	
33933557	
33936520	
33937052	
33939965	
33941591	
33941922	
33950701	
33957863	
33957932	
33958154	
33958211	
33958760	
33963182	
33971807	
33972311	
33972443	
33974994	NCT03264898
33976133	
33978635	
33979626	
33980539	
33981038	
33982010	
33986125	NCT01804465
33986468	
33986545	
