publication	geo	sra	dbgap
26988926			
27641825			
27696777			
27795415			
27926786			
28063166			
28111464			
28176769			
28249894			
28250416	GSE94041,GSE94040,GSE94039	SRP097738,SRP097737	
28257609			
28263969			
28270494			
28272465	GSE88997	SRP091873	
28273064	GSE87164,GSE87163,GSE76659		
28280220			
28287549			
28317123			
28323339			
28340012			
28341640			
28346094			
28379424			
28381423			
28388816			
28397388			
28402856			
28402942			
28411130			
28442502			
28464318			
28479592			
28483986			
28484033	GSE96775	SRP102091	
28485815			
28486102			
28487543	GSE93395	SRP096375	
28490665			
28490812	GSE86147		
28515148			
28521118			
28541380			
28572161			
28576884	GSE98705	SRP106708	
28581522	GSE39754		
28587050			
28588253			
28591772			
28600474			
28602904			
28606585			
28621576			
28624153			
28629896			
28635117			
28637795			
28640950			
28648948			
28653829			
28657114			
28657667			
28674079			
28684606			
28686535			
28691930			
28700829			
28701397			
28706277			
28710250			
28720577			
28721904			
28726085			
28730928			
28732227			
28734174			
28745029			
28759485			
28760232			
28763097			
28775207			
28783718			
28798196			
28800031			
28814605			
28817835			
28819022			
28820751			
28821601			
28835615	GSE83503		
28843293			
28843371			
28847007	GSE83088		
28850934			
28851690			
28854952			
28855350			
28860471			
28860563			
28862765			
28864456			
28866885			
28869863			
28871363			
28871446			
28877935			
28877962			
28877984			
28878208	GSE100317		
28885999			
28900008			
28902780			
28904816			
28911884			
28911907			
28916764			
28934002			
28957356			
28970362			
28974511			
28976766			
28978752			
28981123			
28984291			
28988769			
28992382			
29016103			
29016836			
29017058	GSE99381	SRP108222	
29025982			
29026204			
29029890			
29033130	GSE91061	SRP094781	
29035366			
29038232			
29038537			
29049607			
29051322			
29054012			
29054992	GSE89129,GSE89128,GSE89127	SRP092083	
29058716			
29059175			
29059683			
29062243			
29075773			
29076949	GSE51906		
29077214			
29081036			
29081725			
29083185			
29083409			
29086765			
29088129			
29089645			
29092936			
29092937			
29092939			
29092946			
29093439	GSE73628	SRP064353	
29097926			
29100075			
29100492			
29101114			
29101163	GSE89477	SRP092523	
29106415			
29108585			
29116056			
29122287			
29124938			
29128565			
29132144			phs001041.v1.p1,phs001041.v1.p1,phs000980.v1.p1,phs000980.v1.p1
29133591			
29139475			
29142225			
29145701			
29149451			
29151572			
29153843	GSE85559,GSE85558,GSE85557,GSE85556,GSE85244,GSE85242	SRP081517,SRP081515,SRP081514	
29154080			
29154963			
29155309			
29156001			
29158292			
29158557	GSE104831		
29158558			
29162641			
29163965			
29175391			
29176737			
29177671			
29178486			
29181270			
29182162			
29186491			
29186692			
29189564			
29191879	GSE104294	SRP118933	
29196463			
29196615			
29203590			
29206870			
29206922			
29209044			
29210800			
29212026	GSE105437		
29212731			
29215513			
29215871			
29217585		SRP125486	
29218265			
29218886			
29230093			
29233566			
29235195			
29237804			
29238985			
29242283			
29243000			
29249144			
29249839			
29251630	GSE106519		
29255035			
29258679			
29259014			
29259241			
29261439			
29263110			
29266001			
29267863			
29277115			
29278667			
29288495			
29291005			
29294023			
29298342			
29298799			
29301958	GSE131674,GSE107670	SRP199253,SRP126091	
29301960			
29314003			
29317678	GSE107078,GSE94242,GSE94241,GSE94240	SRP125218,SRP098166,SRP098163	
29318900			
29319699			
29323272	GSE105799,GSE98605,GSE98604,GSE98486,GSE98469	SRP120988,SRP106553,SRP106196,SRP106076	
29327114			
29332675			
29335648	GSE102527,GSE102526,GSE102525	SRP115262	
29338082			
29339358			
29339359			
29339807			
29342309			
29342360			
29343548			
29350062			
29358413			
29360641	GSE80443,GSE80352,GSE80313,GSE80305	SRP073740,SRP073739,SRP073337	
29369827			
29379199	GSE100538,GSE80154,GSE80153,GSE80152,GSE80151,GSE80150,GSE80149	SRP073110,SRP110588,SRP073112	
29381148			
29385081			
29387478			
29410677			
29417929			
29420353			
29421984			
29426295			
29426930			
29430700			
29431617			
29431697			
29431698	GSE107073,GSE107072,GSE107071,GSE94453	SRP125209,SRP125208,SRP098784	
29434481			
29435196			
29438696			
29438996			
29440379	GSE108524		
29441528			
29441563			
29444434			
29447163			
29449192			
29459478			
29462669			
29463696			
29467427	GSE97265	SRP102810	
29471289			
29474905	GSE108615		
29475961			
29481652			
29483153			
29485185			
29486723			
29487024			
29487385			
29491378			
29492753			
29496759			
29499525			
29499621			
29500245			
29508855			
29513652	GSE87324,GSE68847,GSE68845,GSE68836	SRP090392	
29518331			
29520676			
29523594			
29523629			
29528224			
29533773	GSE109209	SRP130991	
29533782			
29533785			
