type	patent_id	fulfilled_date	project.project_id
patent	US-11059801-B2	12-Jul-2021	5R01CA176745-08
patent	US-11059801-B2	12-Jul-2021	5R01CA176745-09
patent	US-11059801-B2	12-Jul-2021	5R01CA176745-10
patent	US-10464925-B2	4-Nov-2019	2R01CA176745-07
patent	US-10464925-B2	4-Nov-2019	3R01CA176745-07S1
patent	US-10464925-B2	4-Nov-2019	5R01CA176745-08
patent	US-10464925-B2	4-Nov-2019	5R01CA176745-09
patent	US-10464925-B2	4-Nov-2019	5R01CA176745-10
patent	US-10745439-B2	17-Aug-2020	5R01CA182543-05
patent	US-10745439-B2	17-Aug-2020	3R01CA182543-05S1
patent	US-10745439-B2	17-Aug-2020	3R01CA182543-05S2
patent	US-10745439-B2	17-Aug-2020	5R01CA182543-06
patent	US-10745439-B2	17-Aug-2020	3R01CA182543-06S1
patent	US-10745439-B2	17-Aug-2020	3R01CA182543-06S2
patent	US-20190302117-A1	2-Oct-2019	5R01CA182543-05
patent	US-20190302117-A1	2-Oct-2019	3R01CA182543-05S1
patent	US-20190302117-A1	2-Oct-2019	3R01CA182543-05S2
patent	US-20190302117-A1	2-Oct-2019	5R01CA182543-06
patent	US-20190302117-A1	2-Oct-2019	3R01CA182543-06S1
patent	US-20190302117-A1	2-Oct-2019	3R01CA182543-06S2
patent	US-10883992-B2	4-Jan-2021	5R01CA182543-05
patent	US-10883992-B2	4-Jan-2021	3R01CA182543-05S1
patent	US-10883992-B2	4-Jan-2021	3R01CA182543-05S2
patent	US-10883992-B2	4-Jan-2021	5R01CA182543-06
patent	US-10883992-B2	4-Jan-2021	3R01CA182543-06S1
patent	US-10883992-B2	4-Jan-2021	3R01CA182543-06S2
patent	US-20210161999-A1	2-Jun-2021	5R01CA188900-03
patent	US-20210161999-A1	2-Jun-2021	5R01CA188900-04
patent	US-20210161999-A1	2-Jun-2021	5R01CA188900-05
patent	US-20210161999-A1	2-Jun-2021	3R01CA188900-05S1
patent	US-20220033774-A1	2-Feb-2022	5R01CA194511-03
patent	US-20220033774-A1	2-Feb-2022	3R01CA194511-03S1
patent	US-20220033774-A1	2-Feb-2022	5R01CA194511-04
patent	US-20220033774-A1	2-Feb-2022	3R01CA194511-04S1
patent	US-20220033774-A1	2-Feb-2022	5R01CA194511-05
patent	US-20200098449-A1	25-Mar-2020	1R01CA226776-01
patent	US-20200098449-A1	25-Mar-2020	5R01CA226776-02
patent	US-20200098449-A1	25-Mar-2020	5R01CA226776-03
patent	US-20200098449-A1	25-Mar-2020	5R01CA226776-04
patent	US-20200098449-A1	25-Mar-2020	3R01CA226776-04S1
patent	US-20210149174-A1	19-May-2021	1R33CA202881-01A1
patent	US-20210149174-A1	19-May-2021	5R33CA202881-02
patent	US-20210149174-A1	19-May-2021	3R33CA202881-02S1
patent	US-20210149174-A1	19-May-2021	5R33CA202881-03
patent	US-20210149174-A1	19-May-2021	3R33CA202881-03S1
patent	US-20180299463-A1	17-Oct-2018	1R33CA225248-01
patent	US-20180299463-A1	17-Oct-2018	7R33CA225248-02
patent	US-20200323863-A1	14-Oct-2020	1R33CA225291-01
patent	US-20200323863-A1	14-Oct-2020	7R33CA225291-02
patent	US-20210048410-A1	17-Feb-2021	1R33CA225296-01
patent	US-20210035337-A1	3-Feb-2021	1R33CA225400-01
patent	US-10814020-B2	26-Oct-2020	2R42CA183376-02
patent	US-10814020-B2	26-Oct-2020	5R42CA183376-03
patent	US-10814020-B2	26-Oct-2020	5R42CA183376-04
patent	US-20210145883-A1	19-May-2021	1U01CA217885-01
patent	US-20210145883-A1	19-May-2021	5U01CA217885-02
patent	US-20210145883-A1	19-May-2021	5U01CA217885-03
patent	US-20210145883-A1	19-May-2021	3U01CA217885-03S1
patent	US-20210145883-A1	19-May-2021	5U01CA217885-04
patent	US-20210145883-A1	19-May-2021	5U01CA217885-05
patent	US-20210231666-A1	28-Jul-2021	1U01CA224766-01
patent	US-20210231666-A1	28-Jul-2021	5U01CA224766-02
patent	US-20210231666-A1	28-Jul-2021	5U01CA224766-03
patent	US-20210231666-A1	28-Jul-2021	5U01CA224766-04
patent	US-20210108229-A1	14-Apr-2021	1U01CA250554-01
patent	US-20210108229-A1	14-Apr-2021	5U01CA250554-02
patent	US-20210236662-A1	4-Aug-2021	1U01DE028233-01
patent	US-20210236662-A1	4-Aug-2021	5U01DE028233-02
patent	US-20210236662-A1	4-Aug-2021	7U01DE028233-04
patent	US-20210236662-A1	4-Aug-2021	5U01DE028233-05
patent	US-11116854-B2	13-Sep-2021	1U01DE028233-01
patent	US-11116854-B2	13-Sep-2021	5U01DE028233-02
patent	US-11116854-B2	13-Sep-2021	7U01DE028233-04
patent	US-11116854-B2	13-Sep-2021	5U01DE028233-05
patent	US-20220023445-A1	26-Jan-2022	1U01DE028233-01
patent	US-20220023445-A1	26-Jan-2022	5U01DE028233-02
patent	US-20220023445-A1	26-Jan-2022	7U01DE028233-04
