type	patent_id	fulfilled_date	project.queried_project_id
granted_patent	US-9956249-B2	30-Apr-2018	K12CA076930
granted_patent	US-10463698-B2	4-Nov-2019	K12CA076930
granted_patent	US-9834755-B2	4-Dec-2017	K12CA076930
granted_patent	US-11421194-B2	22-Aug-2022	R33CA212806
granted_patent	US-11116854-B2	13-Sep-2021	U01DE028233
granted_patent	US-10486794-B2	25-Nov-2019	U54CA231641
granted_patent	US-9592899-B2	13-Mar-2017	U54CA231641
granted_patent	US-11186574-B2	29-Nov-2021	P01CA154303
granted_patent	US-10870636-B2	21-Dec-2020	P01CA154303
granted_patent	US-10450310-B2	21-Oct-2019	P01CA154303
granted_patent	US-11161842-B2	1-Nov-2021	P01CA154303
granted_patent	US-10385019-B2	19-Aug-2019	P01CA154303
granted_patent	US-10836722-B2	16-Nov-2020	P01CA154303
granted_patent	US-10550112-B2	3-Feb-2020	P01CA154303
granted_patent	US-9950047-B2	23-Apr-2018	P01CA155258
granted_patent	US-11046709-B2	28-Jun-2021	P50CA186786
granted_patent	US-11013754-B2	24-May-2021	P50CA186786
granted_patent	US-10976320-B2	12-Apr-2021	R01CA163915
granted_patent	US-10105420-B2	22-Oct-2018	R01CA163915
granted_patent	US-11311609-B2	25-Apr-2022	R01CA176745
granted_patent	US-11046954-B2	28-Jun-2021	R01CA176745
granted_patent	US-11293023-B2	4-Apr-2022	R01CA176745
granted_patent	US-10849980-B2	30-Nov-2020	R01CA176745
granted_patent	US-10669253-B2	1-Jun-2020	R01CA176745
granted_patent	US-11059801-B2	12-Jul-2021	R01CA176745
granted_patent	US-10464925-B2	4-Nov-2019	R01CA176745
granted_patent	US-11419954-B2	22-Aug-2022	R42CA183376
granted_patent	US-10814020-B2	26-Oct-2020	R42CA183376
granted_patent	US-11426471-B2	29-Aug-2022	R42CA183376
granted_patent	US-10689392-B2	22-Jun-2020	R01CA143971
granted_patent	US-10745439-B2	17-Aug-2020	R01CA182543
granted_patent	US-10883992-B2	4-Jan-2021	R01CA182543
granted_patent	US-11164312-B2	1-Nov-2021	U24CA180924
