type	patent_id	fulfilled_date	project.project_id
granted_patent	US-11186574-B2	29-Nov-2021	2P01CA154303-06
granted_patent	US-11186574-B2	29-Nov-2021	5P01CA154303-07
granted_patent	US-11186574-B2	29-Nov-2021	5P01CA154303-08
granted_patent	US-11186574-B2	29-Nov-2021	5P01CA154303-09
granted_patent	US-11186574-B2	29-Nov-2021	5P01CA154303-10
granted_patent	US-10870636-B2	21-Dec-2020	2P01CA154303-06
granted_patent	US-10870636-B2	21-Dec-2020	5P01CA154303-07
granted_patent	US-10870636-B2	21-Dec-2020	5P01CA154303-08
granted_patent	US-10870636-B2	21-Dec-2020	5P01CA154303-09
granted_patent	US-10870636-B2	21-Dec-2020	5P01CA154303-10
granted_patent	US-10450310-B2	21-Oct-2019	2P01CA154303-06
granted_patent	US-10450310-B2	21-Oct-2019	5P01CA154303-07
granted_patent	US-10450310-B2	21-Oct-2019	5P01CA154303-08
granted_patent	US-10450310-B2	21-Oct-2019	5P01CA154303-09
granted_patent	US-10450310-B2	21-Oct-2019	5P01CA154303-10
granted_patent	US-11161842-B2	1-Nov-2021	2P01CA154303-06
granted_patent	US-11161842-B2	1-Nov-2021	5P01CA154303-07
granted_patent	US-11161842-B2	1-Nov-2021	5P01CA154303-08
granted_patent	US-11161842-B2	1-Nov-2021	5P01CA154303-09
granted_patent	US-11161842-B2	1-Nov-2021	5P01CA154303-10
granted_patent	US-10385019-B2	19-Aug-2019	2P01CA154303-06
granted_patent	US-10385019-B2	19-Aug-2019	5P01CA154303-07
granted_patent	US-10385019-B2	19-Aug-2019	5P01CA154303-08
granted_patent	US-10385019-B2	19-Aug-2019	5P01CA154303-09
granted_patent	US-10385019-B2	19-Aug-2019	5P01CA154303-10
granted_patent	US-10836722-B2	16-Nov-2020	2P01CA154303-06
granted_patent	US-10836722-B2	16-Nov-2020	5P01CA154303-07
granted_patent	US-10836722-B2	16-Nov-2020	5P01CA154303-08
granted_patent	US-10836722-B2	16-Nov-2020	5P01CA154303-09
granted_patent	US-10836722-B2	16-Nov-2020	5P01CA154303-10
granted_patent	US-10550112-B2	3-Feb-2020	2P01CA154303-06
granted_patent	US-10550112-B2	3-Feb-2020	5P01CA154303-07
granted_patent	US-10550112-B2	3-Feb-2020	5P01CA154303-08
granted_patent	US-10550112-B2	3-Feb-2020	5P01CA154303-09
granted_patent	US-10550112-B2	3-Feb-2020	5P01CA154303-10
granted_patent	US-9950047-B2	23-Apr-2018	2P01CA155258-06
granted_patent	US-9950047-B2	23-Apr-2018	5P01CA155258-07
granted_patent	US-9950047-B2	23-Apr-2018	3P01CA155258-07S1
granted_patent	US-9950047-B2	23-Apr-2018	3P01CA155258-07S2
granted_patent	US-9950047-B2	23-Apr-2018	5P01CA155258-08
granted_patent	US-9950047-B2	23-Apr-2018	5P01CA155258-09
granted_patent	US-9950047-B2	23-Apr-2018	5P01CA155258-10
granted_patent	US-11046709-B2	28-Jun-2021	5P50CA186786-04
granted_patent	US-11046709-B2	28-Jun-2021	5P50CA186786-05
granted_patent	US-11046709-B2	28-Jun-2021	2P50CA186786-06
granted_patent	US-11046709-B2	28-Jun-2021	5P50CA186786-07
granted_patent	US-11046709-B2	28-Jun-2021	3P50CA186786-07S1
granted_patent	US-11046709-B2	28-Jun-2021	5P50CA186786-08
granted_patent	US-11046709-B2	28-Jun-2021	3P50CA186786-08S1
granted_patent	US-11013754-B2	24-May-2021	5P50CA186786-04
granted_patent	US-11013754-B2	24-May-2021	5P50CA186786-05
granted_patent	US-11013754-B2	24-May-2021	2P50CA186786-06
granted_patent	US-11013754-B2	24-May-2021	5P50CA186786-07
granted_patent	US-11013754-B2	24-May-2021	3P50CA186786-07S1
granted_patent	US-11013754-B2	24-May-2021	5P50CA186786-08
granted_patent	US-11013754-B2	24-May-2021	3P50CA186786-08S1
granted_patent	US-10689392-B2	22-Jun-2020	5R01CA143971-07
granted_patent	US-10689392-B2	22-Jun-2020	3R01CA143971-07S1
granted_patent	US-10689392-B2	22-Jun-2020	7R01CA143971-08
granted_patent	US-10689392-B2	22-Jun-2020	3R01CA143971-08S1
granted_patent	US-10689392-B2	22-Jun-2020	5R01CA143971-09
granted_patent	US-10689392-B2	22-Jun-2020	5R01CA143971-10
granted_patent	US-10976320-B2	12-Apr-2021	2R01CA163915-06
granted_patent	US-10976320-B2	12-Apr-2021	5R01CA163915-07
granted_patent	US-10976320-B2	12-Apr-2021	3R01CA163915-07S1
granted_patent	US-10976320-B2	12-Apr-2021	5R01CA163915-08
granted_patent	US-10976320-B2	12-Apr-2021	3R01CA163915-08S1
granted_patent	US-10976320-B2	12-Apr-2021	5R01CA163915-09
granted_patent	US-10976320-B2	12-Apr-2021	5R01CA163915-10
granted_patent	US-10105420-B2	22-Oct-2018	2R01CA163915-06
granted_patent	US-10105420-B2	22-Oct-2018	5R01CA163915-07
granted_patent	US-10105420-B2	22-Oct-2018	3R01CA163915-07S1
granted_patent	US-10105420-B2	22-Oct-2018	5R01CA163915-08
granted_patent	US-10105420-B2	22-Oct-2018	3R01CA163915-08S1
granted_patent	US-10105420-B2	22-Oct-2018	5R01CA163915-09
granted_patent	US-10105420-B2	22-Oct-2018	5R01CA163915-10
granted_patent	US-11046954-B2	28-Jun-2021	2R01CA176745-07
granted_patent	US-11046954-B2	28-Jun-2021	3R01CA176745-07S1
granted_patent	US-11046954-B2	28-Jun-2021	5R01CA176745-08
granted_patent	US-11046954-B2	28-Jun-2021	5R01CA176745-09
granted_patent	US-11046954-B2	28-Jun-2021	5R01CA176745-10
granted_patent	US-10849980-B2	30-Nov-2020	2R01CA176745-07
granted_patent	US-10849980-B2	30-Nov-2020	3R01CA176745-07S1
granted_patent	US-10849980-B2	30-Nov-2020	5R01CA176745-08
granted_patent	US-10849980-B2	30-Nov-2020	5R01CA176745-09
granted_patent	US-10849980-B2	30-Nov-2020	5R01CA176745-10
granted_patent	US-10669253-B2	1-Jun-2020	2R01CA176745-07
granted_patent	US-10669253-B2	1-Jun-2020	3R01CA176745-07S1
granted_patent	US-10669253-B2	1-Jun-2020	5R01CA176745-08
granted_patent	US-10669253-B2	1-Jun-2020	5R01CA176745-09
granted_patent	US-10669253-B2	1-Jun-2020	5R01CA176745-10
granted_patent	US-11059801-B2	12-Jul-2021	2R01CA176745-07
granted_patent	US-11059801-B2	12-Jul-2021	3R01CA176745-07S1
granted_patent	US-11059801-B2	12-Jul-2021	5R01CA176745-08
granted_patent	US-11059801-B2	12-Jul-2021	5R01CA176745-09
granted_patent	US-11059801-B2	12-Jul-2021	5R01CA176745-10
granted_patent	US-10464925-B2	4-Nov-2019	2R01CA176745-07
granted_patent	US-10464925-B2	4-Nov-2019	3R01CA176745-07S1
granted_patent	US-10464925-B2	4-Nov-2019	5R01CA176745-08
granted_patent	US-10464925-B2	4-Nov-2019	5R01CA176745-09
granted_patent	US-10464925-B2	4-Nov-2019	5R01CA176745-10
granted_patent	US-10745439-B2	17-Aug-2020	5R01CA182543-05
granted_patent	US-10745439-B2	17-Aug-2020	3R01CA182543-05S1
granted_patent	US-10745439-B2	17-Aug-2020	3R01CA182543-05S2
granted_patent	US-10745439-B2	17-Aug-2020	5R01CA182543-06
granted_patent	US-10745439-B2	17-Aug-2020	3R01CA182543-06S1
granted_patent	US-10745439-B2	17-Aug-2020	3R01CA182543-06S2
granted_patent	US-10883992-B2	4-Jan-2021	5R01CA182543-05
granted_patent	US-10883992-B2	4-Jan-2021	3R01CA182543-05S1
granted_patent	US-10883992-B2	4-Jan-2021	3R01CA182543-05S2
granted_patent	US-10883992-B2	4-Jan-2021	5R01CA182543-06
granted_patent	US-10883992-B2	4-Jan-2021	3R01CA182543-06S1
granted_patent	US-10883992-B2	4-Jan-2021	3R01CA182543-06S2
granted_patent	US-10814020-B2	26-Oct-2020	2R42CA183376-02
granted_patent	US-10814020-B2	26-Oct-2020	5R42CA183376-03
granted_patent	US-10814020-B2	26-Oct-2020	5R42CA183376-04
granted_patent	US-11116854-B2	13-Sep-2021	1U01DE028233-01
granted_patent	US-11116854-B2	13-Sep-2021	5U01DE028233-02
granted_patent	US-11116854-B2	13-Sep-2021	7U01DE028233-04
