type	publication_id	year	journal	title	authors	publish_date	citation_count	citation_count_category	relative_citation_ratio	rcr_range	nih_percentile	doi	project.project_id
publication	33139265	2021	Clin Cancer Res	International Consensus Definition of DNA Methylation Subgroups in Juvenile Myelomonocytic Leukemia.	"Maximilian Schšnung, Julia Meyer, Peter Nšllke, Adam B Olshen, Mark Hartmann, Norihiro Murakami, Manabu Wakamatsu, Yusuke Okuno, Christoph Plass, Mignon L Loh, Charlotte M Niemeyer, Hideki Muramatsu, Christian Flotho, Elliot Stieglitz, Daniel B Lipka"	1-Jan-21	13	10 to 14	3.18	2 to 5		10.1158/1078-0432.CCR-20-3184	3P30CA082103-21S9
publication	33375775	2022	Haematologica	Molecular and phenotypic diversity of CBL-mutated juvenile myelomonocytic leukemia.	"Anna Hecht, Julia A Meyer, Astrid Behnert, Eric Wong, Farid Chehab, Adam Olshen, Aaron Hechmer, Catherine Aftandilian, Rukhmi Bhat, Sung Won Choi, Satheesh Chonat, Jason E Farrar, Mark Fluchel, Haydar Frangoul, Jennifer H Han, Edward A Kolb, Dennis J Kuo, Margaret L MacMillan, Luke Maese, Kelly W Maloney, Aru Narendran, Benjamin Oshrine, Kirk R Schultz, Maria L Sulis, David Van Mater, Sarah K Tasian, Wolf-Karsten Hofmann, Mignon L Loh, Elliot Stieglitz"	1/1/22	7	5 to 9		N/A		10.3324/haematol.2020.270595	3P30CA082103-21S9
publication	34133209	2021	J Clin Oncol	Therapeutic Implications of Germline Testing in Patients With Advanced Cancers.	"Zsofia K Stadler, Anna Maio, Debyani Chakravarty, Yelena Kemel, Margaret Sheehan, Erin Salo-Mullen, Kaitlyn Tkachuk, Christopher J Fong, Bastien Nguyen, Amanda Erakky, Karen Cadoo, Ying Liu, Maria I Carlo, Alicia Latham, Hongxin Zhang, Ritika Kundra, Shaleigh Smith, Jesse Galle, Carol Aghajanian, Nadeem Abu-Rustum, Anna Varghese, Eileen M O'Reilly, Michael Morris, Wassim Abida, Michael Walsh, Alexander Drilon, Gowtham Jayakumaran, Ahmet Zehir, Marc Ladanyi, Ozge Ceyhan-Birsoy, David B Solit, Nikolaus Schultz, Michael F Berger, Diana Mandelker, Luis A Diaz, Kenneth Offit, Mark E Robson"	8/20/21	22	>=20	4.75	2 to 5		10.1200/JCO.20.03661	3P30CA008748-54S3
publication	34308366	2021	Nat Cancer	Prospective pan-cancer germline testing using MSK-IMPACT informs clinical translation in 751 patients with pediatric solid tumors.	"Elise M Fiala, Gowtham Jayakumaran, Audrey Mauguen, Jennifer A Kennedy, Nancy Bouvier, Yelena Kemel, Megan Harlan Fleischut, Anna Maio, Erin E Salo-Mullen, Margaret Sheehan, Angela G Arnold, Alicia Latham, Maria I Carlo, Karen Cadoo, Semanti Murkherjee, Emily K Slotkin, Tanya Trippett, Julia Glade Bender, Paul A Meyers, Leonard Wexler, Filemon S Dela Cruz, Nai-Kong Cheung, Ellen Basu, Alex Kentsis, Michael Ortiz, Jasmine H Francis, Ira J Dunkel, Yasmin Khakoo, Stephen Gilheeney, Sameer Farouk Sait, Christopher J Forlenza, Maria Sulis, Matthias Karajannis, Shakeel Modak, Justin T Gerstle, Todd E Heaton, Stephen Roberts, Ciyu Yang, Sowmya Jairam, Joseph Vijai, Sabine Topka, Danielle N Friedman, Zsofia K Stadler, Mark Robson, Michael F Berger, Nikolaus Schultz, Marc Ladanyi, Richard J O'Reilly, David H Abramson, Ozge Ceyhan-Birsoy, Liying Zhang, Diana Mandelker, Neerav N Shukla, Andrew L Kung, Kenneth Offit, Ahmet Zehir, Michael F Walsh"	2/15/21	29	>=20	6.76	> 5		10.1038/s43018-021-00172-1	3P30CA008748-54S3
publication	34466766	2021	J Endocr Soc	Synergism of Checkpoint Inhibitors and Peptide Receptor Radionuclide Therapy in the Treatment of Pituitary Carcinoma.	"Andrew L Lin, Viviane Tabar, Robert J Young, Marc Cohen, John Cuaron, T Jonathan Yang, Marc Rosenblum, Vasilisa A Rudneva, Eliza B Geer, Lisa Bodei"	10/1/21		N/A		N/A		10.1210/jendso/bvab133	3P30CA008748-54S3
publication	35483876	2022	Cold Spring Harb Mol Case Stud	Acute myeloid leukemia with an <i>MN1-ETV6</i> fusion in a young child with Down syndrome.	"Jaclyn Rosenzweig, Pallavi M Pillai, Susan Prockop, Ryma Benayed, Lisa Eidenschink Brodersen, Vesna Najfeld, Michael R Loken, Yanming Zhang, Neerav Shukla"	4/1/22		N/A		N/A		10.1101/mcs.a006167	3P30CA008748-54S3
