type	accession	title	release_date	publication.publication_id
dbgap	phs001577.v1.p1	Structural Alterations Driving Castration-Resistant Prostate Cancer Revealed by Linked-Read Genome Sequencing	12-Sep-2018	29610475
dbgap	phs001234.v1.p1	Targeted Sequencing of Primary ER-positive Breast Tumors Treated with 5 Years of Tamoxifen	16-Oct-2018	30181556
